genre,genre_standard,count
Action,Action,263
Adventure,Adventure,116
3D,3D,105
Shooter,Shooter,69
Strategy,Strategy/Tactical,63
2D,2D,60
First-Person,First-Person,55
Platformer,Platformer,46
Role-Playing,RPG,45
Team-Based,Team-Based,39
Simulation,Simulation,27
Open-World,Open-World,26
Real-Time,Real-Time,20
Third-Person,Third-Person,20
Driving/Racing,Driving/Racing,18
Puzzle,Puzzle,14
Sports,Sports,10
Tactical,Strategy/Tactical,10
Arcade,Arcade,9
Turn-Based,Turn-Based,9
MMO,MMO,9
Roguelike,RPG,6
Management,Management,6
Survival,Survival,6
MOBA,MOBA,5
Beat-'Em-Up,Fighting,5
Miscellaneous,Other,5
Fighting,Fighting,5
Soccer,Sports,4
Free-to-Play,Free-to-Play,4
Flight,Flight,3
Shoot-'Em-Up,Shooter,3
Music/Rhythm,Other,2
Compilation,Other,2
Fixed-Screen,Other,2
Basketball,Sports,2
Skateboarding/Skating,Sports,2
Golf,Sports,2
Pinball,Other,1
Gambling,Other,1
Text-Based,Puzzle,1
On-Rails,Shooter,1
Hidden Object,Puzzle,1
Wrestling,Sports,1
Party/Minigame,Other,1
Snowboarding/Skiing,Sports,
